2025-05-06T11:15:53.761264 - Submit Cobot score by Jaochai score is => - {'user': 'G06', 'score': 340, 'time_taken': 111.0, 'deduction': 10, 'checkpoint1': 10, 'checkpoint2': 10, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T11:16:03.894481 - Submit Cobot score by Jaochai score is => - {'user': 'G06', 'score': 340, 'time_taken': 111.0, 'deduction': 10, 'checkpoint1': 10, 'checkpoint2': 10, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T11:16:15.871038 - Submit Cobot score by Jaochai score is => - {'user': 'G06', 'score': 340, 'time_taken': 111.0, 'deduction': 10, 'checkpoint1': 10, 'checkpoint2': 10, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:05:12.766833 - Submit Cobot score by Jaochai score is => - {'user': 'G01', 'score': 165, 'time_taken': 120.0, 'deduction': 10, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:09:53.380605 - Submit Cobot score by Jaochai score is => - {'user': 'G01', 'score': 165, 'time_taken': 120.0, 'deduction': 10, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:13:41.365046 - Submit Cobot score by Jaochai score is => - {'user': 'G01', 'score': 165, 'time_taken': 120.0, 'deduction': 10, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'single'}
2025-05-06T12:13:49.515537 - Submit Cobot score by Jaochai score is => - {'user': 'G02', 'score': 175, 'time_taken': 120.0, 'deduction': 0, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:14:02.755506 - Submit Cobot score by Jaochai score is => - {'user': 'G03', 'score': 175, 'time_taken': 111.0, 'deduction': 0, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:14:53.697689 - Submit Cobot score by Jaochai score is => - {'user': 'G03', 'score': 175, 'time_taken': 111.0, 'deduction': 0, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 0, 'finish': 0, 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:31:02.275631 - Submit Cobot score by Jaochai score is => - {'user': 'G03', 'score': 175, 'time_taken': 111.0, 'deduction': 0, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 'None', 'finish': 'None', 'age_group': '7-9', 'comp_type': 'team'}
2025-05-06T12:32:51.528127 - Submit Cobot score by Jaochai score is => - {'user': 'G04', 'score': 155, 'time_taken': 111.0, 'deduction': 2, 'checkpoint1': 5, 'checkpoint2': 5, 'exp': 'None', 'finish': 'None', 'age_group': '7-9', 'comp_type': 'team'}
